Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)
307.202	9765.88	9458.67	7937.27	5806.66	7036.63	6902.55	7147.13	8238.56	14078.43	8401.77	11971.4	10101.65	9069.87	4781.83	9643.61	10697.66	6193.29	7594.58	6744.13	6292.28	6078.07	8760.47	9556.08	9788.45	6529.65	6367.64	7353.5	8213.61	7846.52	5802.87	8738.17	7725.29	5868.27	9290.68	11948.16	7509.14	6794.77	5785.44	6356.72	11745.24	8989.34	8011.89	10672.1	6572.71	6659.55	9297.16	7076.97	8203	10650.11	8506.31	8669	11148.13	7683.5	8508.7	7926.57	9720.99	10194.52	7382.88	7755.75	8811.81	8385.97	5422.04	6522.96	7707.04	5981.67	6877.93	7237.29	7108.96	6868.52	5452.31
337.201	10654.61	10482.07	8851.98	6427.95	7700.95	7682.19	7960.04	9062.47	14119.45	9243.79	12600.13	11022.59	9908.32	5221.67	10537.54	11605.66	6906.74	8459.93	7370.41	6890.37	6709.34	9663.01	10527.51	10804.62	7203.85	6978.93	8028.32	9016.98	8638.29	6418.28	9615.06	8482.49	6392.39	10112.58	12804.24	8271.96	7400.32	6407.26	7016.63	12279.31	9905.65	8903.49	11643.53	7313.63	7350.78	10094.51	7775.53	8915.67	11488.38	9275.86	9609.89	12147.64	8432.03	9278.59	8712.43	10636.74	11190.26	8156.69	8506.94	9683.93	9235.16	5950.94	7131.45	8403.91	6596.88	7503.48	7931.83	7803.29	7530.59	5906.72
367.278	11313.09	11256.56	9626.63	6947.59	8169.33	8312.05	8611.71	9776.78	14129.64	9925.63	12902	11731.72	10539.46	5558.22	11196.04	12166.84	7498.09	9199.21	7883.22	7371.72	7226.66	10356.66	11261.16	11494.67	7674.54	7403.26	8520.56	9728.85	9253.12	6974.47	10294.68	9078.74	6795.95	10771.69	13234.58	8903.64	7884.48	6913.07	7551.71	12559.01	10615.41	9642.59	12351.01	7919.34	7893.63	10712.03	8352.01	9446.5	11982.85	9853.33	10343.41	12889.02	9009.62	9817.18	9382.3	11315.57	11932.29	8790.83	9049.81	10423.59	9924.42	6352.53	7560.18	8930.83	7074.42	7968.39	8500.7	8346.63	8056.41	6222.72
397.339	11259.7	11381.19	9781.55	7018.05	8165.92	8443.2	8727.88	9785.79	14124.49	9955.51	12905	11685.75	10537.41	5582.17	11200	12157.46	7635.01	9340.88	7903.33	7384.39	7295.91	10399.06	11328.25	11569.01	7697.18	7391.75	8500.9	9779.73	9296.75	7053.71	10344.53	9117.23	6793.85	10703.06	13206.12	8974.76	7841.1	6985.72	7608.73	12558.19	10655.9	9778.81	12314.69	8066.06	7961.44	10652.42	8400.54	9387.28	11983.41	9813.2	10450.42	12826.18	9031.98	9761.53	9433.33	11307.65	11936.7	8863.02	9077.79	10473.26	10037.15	6439.1	7564.16	8883.82	7122.22	7983.65	8495.56	8355.61	8073.6	6204.04
427.260	11488.04	11754.75	10197.18	7277.34	8386.67	8758.55	9078.15	10107.24	14129.66	10247.43	12993.41	11956.49	10800.49	5760.17	11417.02	12327.15	7967.15	9735.62	8102.75	7573.53	7531.1	10727.93	11610.07	11874.56	7968.5	7555.52	8694.44	10101.13	9628.36	7338.89	10646.06	9364.02	6961.14	10941.34	13318.92	9256.51	7995.63	7267.25	7891.97	12638.52	10927.63	10163.75	12611.9	8409.11	8234.6	10867.72	8688.49	9600.66	12125.53	10019.64	10808.88	13070.15	9299.63	9942.33	9757.4	11592.76	12225.69	9188.64	9302	10822.84	10389.57	6630.83	7709.66	9089.07	7331.64	8184.13	8771.02	8587.5	8296.84	6334.89
457.259	11822.44	12284.15	10752.61	7627.84	8670.87	9199.77	9535.57	10546.45	14131.75	10664.81	13102.43	12369.03	11144.32	5960.57	11730.59	12549.23	8401.59	10256.04	8422.12	7861.79	7869.78	11161.25	11955.45	12229.77	8265.49	7813.03	9010.98	10510.66	10022.69	7712.05	11108.1	9758.41	7229.98	11327.06	13492.52	9680.16	8278.46	7623.81	8263.57	12731.28	11293.73	10629.16	13057.99	8817.46	8545.19	11172.54	9044.55	9874.25	12342.73	10365.16	11292.51	13454.04	9653.19	10266.66	10196.79	12025.29	12639.64	9587.27	9658.62	11272.62	10825.49	6903.85	7972.66	9371.82	7649.6	8471.24	9116.82	8927.91	8610.45	6550.42
487.196	12131.04	12674.29	11181.98	7911.13	8889.6	9559.5	9903.32	10876.38	14129.31	10992.9	13186.31	12696.4	11417.1	6145.95	11970.43	12701.63	8808.64	10687.51	8696.73	8124.19	8148.47	11519.84	12217.62	12475.58	8537.82	8045.95	9213.41	10846.33	10349.63	8025.65	11437.95	10046.5	7391.18	11639.51	13596.87	10003.36	8489.79	7928.21	8583.26	12783.42	11563.3	11057.15	13381.31	9193.05	8864	11368.8	9377.39	10098.55	12465.8	10598.76	11706.32	13780.96	9920.67	10497.54	10542.06	12315.96	12903.98	9939.07	9944	11604.06	11218.01	7139.38	8186.53	9602.07	7893.82	8719.55	9375.19	9220.56	8852.58	6668.38
517.195	12302.21	12959.76	11585.13	8144.73	9082.91	9876.13	10224.92	11165.41	14132.33	11219.4	13199.1	12900.21	11570.85	6288.76	12101.77	12783.54	9088.12	11065.02	8872.35	8301.9	8381.84	11732.06	12390.78	12620.55	8714.53	8181.6	9355.22	11082.84	10600.3	8263.06	11702.86	10287.97	7546.09	11798.99	13650.48	10278.89	8629.93	8166.54	8794.43	12808.39	11737.96	11319.18	13597.38	9503.24	9065.78	11508.96	9630.94	10224.82	12539.29	10787.03	12009.36	13923.49	10151.24	10641	10808.26	12509.61	13078.98	10203.15	10135.18	11866.2	11482.62	7347.37	8321.91	9769.44	8077.45	8867.15	9579.8	9399.32	9076.05	6766.89
547.568	12629.28	13342.78	12098.43	8475.58	9331.92	10263.46	10636.89	11552.1	14132.72	11614.09	13270.49	13282.03	11836.42	6524.32	12336.21	12917.91	9540.12	11537.03	9181.89	8580.57	8705.64	12109.5	12620.51	12844.14	9020.48	8426.4	9622.55	11421.84	10985.19	8637.07	12048.63	10652.36	7804.69	12132.17	13757.54	10669.49	8893.79	8515.62	9137.45	12854.23	11962.18	11683.3	13985.03	9903.62	9439.96	11724.39	9983.32	10529.12	12684.88	11101.03	12396.68	14228.84	10490.01	10946.37	11191.47	12870.34	13361.24	10608.5	10447.48	12332.75	11932.23	7608.96	8565.12	10041.07	8367.73	9129.1	9896.86	9743.96	9348.82	6958.7
577.598	13273.4	13880.8	12825.56	9037.7	9853.72	10975.38	11360.92	12157.93	14132.9	12312.2	13361.03	13942.61	12275.02	6924.23	12691.34	13103.51	10230.1	12353.42	9694.79	9089.58	9279.34	12618.15	12960.79	13112.91	9572.54	8910.89	10162.64	11921.73	11533.99	9237.06	12530.37	11227.03	8237.38	12697.07	13906.4	11353.93	9383.78	9084.03	9737.94	12900.4	12287.21	12205.04	14585.76	10613.32	9994.73	12124.83	10619.21	11061.58	12876.71	11674.07	12964.53	14829.13	11125.13	11479.51	11886.18	13423.34	13825.48	11306.08	11043.38	12970.43	12660.61	8088.09	9050.23	10556.45	8901.05	9664.45	10481.64	10298.39	9899.47	7311.64
607.831	13733.35	14272.59	13416.93	9546.14	10290.1	11610.66	12028.05	12630.5	14132.75	12820.23	13414.99	14491.26	12606.64	7255.87	12938.44	13204.87	10855.47	13051.67	10213.72	9543.19	9798.11	12982.72	13180.63	13262.04	10045.97	9334.71	10645.26	12277.59	11954.98	9778.07	12855.34	11721.96	8611.9	13103.64	13987.79	11860.26	9812.27	9600.14	10276.36	12920.96	12498.55	12542.94	15028.52	11235.18	10547.68	12407.54	11190.86	11474.2	12995.39	12211.78	13369.1	15208.19	11643.88	11985.34	12521.57	13823.87	14132.08	11939.05	11637.17	13495.29	13335.07	8440.88	9449.98	11049.59	9372.97	10110.39	11020.46	10830.28	10422.11	7609.02
637.737	13978.1	14428.19	13752.93	9873.52	10580.94	12029.8	12439.66	12872.77	14134.5	13119.71	13438.96	14736.78	12743.61	7495.9	13050.48	13254.73	11287.53	13452.1	10535.44	9845.47	10114.4	13179.45	13282.42	13324.25	10377.13	9583.72	10904.83	12458.33	12207.9	10145.98	13006.68	11982.99	8867.16	13354.58	14019.94	12181.71	10057.95	9959.4	10634.03	12920.48	12586.71	12727.48	15225.06	11717.8	10896.22	12570.63	11578.05	11696.76	13058.69	12517.25	13602.99	15368.95	11955.65	12258.02	12941.68	14037.16	14292.07	12340.7	11978.53	13778.91	13806.79	8793.14	9736.81	11300.47	9697.94	10403.59	11328.86	11175.9	10695.7	7785.65
667.829	14381.58	14662.25	14136.65	10511.35	11114.39	12738.59	13056.01	13247.94	14132.04	13549.03	13475.62	15193.7	12984.91	7925.74	13221.6	13305.09	12014.51	14010.42	11101.56	10389.63	10659.21	13423.63	13404.16	13385.69	10926.74	10119.42	11403.03	12705.21	12548.01	10795.8	13197.17	12353.15	9348.83	13677.03	14065.32	12645.53	10574.98	10612.38	11273.13	12935.75	12711.03	12943.45	15572.14	12419.61	11426.41	12784.55	12263.74	12093.26	13138.8	13083.37	13903.75	15704.66	12442.5	12774.58	13633.07	14361.59	14573.92	13064.06	12589.18	14209.51	14446.99	9291.98	10220.48	11844.12	10232.42	10953.51	11947.35	11752.99	11293.22	8192.22
697.906	14246.9	14638.15	14110.62	10416.76	11003.36	12653.64	13022.79	13196.77	14133.07	13478.45	13469.32	15072.46	12925.33	7854.51	13192.5	13289.33	11987.91	13989.42	10987.22	10265.81	10597.68	13384.48	13395.42	13379.93	10846.53	9993.58	11270.74	12666.94	12488	10739.2	13184.03	12288.44	9211.69	13593.48	14056.96	12597.41	10421.42	10558.04	11204.77	12931.53	12704.26	12928.54	15502.68	12410.82	11347.88	12702.43	12166.29	11946.91	13131.99	12896.24	13854.64	15608.3	12335.89	12590.18	13536.18	14282.36	14512.28	13000.17	12442.02	14131.37	14373.1	9198.54	10074.48	11683.66	10118.1	10798.78	11818.71	11644.62	11194.71	8050.41
727.812	14284.21	14675.43	14212.84	10592.97	11125.37	12849.67	13206.11	13293.4	14134.67	13546.89	13466.98	15140.42	12967.21	7997.47	13206.55	13292.9	12233.11	14137.42	11157.56	10401.26	10725.52	13438.16	13412.46	13386.53	10951.69	10084.96	11353.97	12725.42	12570.88	10929.86	13210	12377.34	9320.54	13621.79	14051.38	12682.67	10515	10742.08	11357.13	12931.79	12720.55	12976.24	15553.91	12619.89	11454.15	12709.52	12360.91	12013.18	13147.18	13008.21	13896.7	15619.49	12436.08	12658.81	13678.11	14337.98	14549.46	13179.85	12576.91	14226.54	14443.3	9347.68	10158.86	11766.81	10265.03	10908.78	11960.77	11762.44	11250.21	8090.43
757.764	14467.66	14752.71	14370.86	10907.9	11353.56	13176.64	13468.98	13438.07	14137.21	13741.34	13471.06	15358.38	13044.79	8251.39	13250.15	13304.96	12670.47	14348.37	11446.74	10670.61	11012.84	13536.12	13458.14	13404.51	11233.88	10385.78	11550.46	12840.81	12727.68	11245.32	13278.11	12538.21	9609.45	13775.78	14072.37	12907.36	10781.48	11088.75	11716.58	12933.37	12757.98	13065.54	15697.5	13021.96	11738.24	12793.75	12748.08	12172.38	13179.82	13251.43	14039.44	15764.44	12664.99	12885.06	14024.18	14495.67	14637.2	13622.94	12917.18	14450.13	14782.25	9657.51	10443.58	12068.31	10608.67	11187.64	12259.06	12101.54	11631.31	8312.33
787.841	14336.6	14728.47	14373.7	10850.68	11274.54	13132.37	13464.02	13396.6	14131.11	13673.2	13452.39	15257.43	13019.97	8206.07	13224.65	13288.68	12662.59	14359.9	11379.94	10589.97	10958.91	13510.05	13438.22	13399.57	11129.29	10293.13	11447.74	12796.43	12694.33	11222.94	13267.53	12487.83	9493.4	13696.3	14063.44	12871.96	10662.38	11053.47	11661.08	12929.96	12753.71	13037.46	15624.33	12994.55	11684.96	12762.02	12673.23	12055.92	13156.49	13098.51	14008.7	15630.94	12583.4	12745.5	13906.72	14387.53	14598.94	13546.05	12783.26	14370.12	14705.79	9601.67	10304.36	11904.08	10552.07	11121.31	12119.92	11992.86	11503.83	8174.49
818.074	14410.61	14779.36	14411.21	11047.35	11391.18	13283.68	13603.52	13468.53	14128.59	13784.73	13469.81	15334.83	13050.14	8365.44	13264.98	13297.42	12933.67	14459.74	11583.59	10733.11	11149.09	13557.25	13465.47	13406.48	11286.33	10415.79	11554.39	12865.3	12771.66	11416.95	13297.28	12566.17	9659.2	13759.03	14066.54	12965.16	10775.1	11263.61	11852.56	12932.97	12769.32	13088.69	15727.17	13200.59	11803.99	12796.08	12908.24	12124.1	13169.36	13206.09	14068.97	15701.51	12689.93	12861.76	14065.6	14461.98	14633.37	13770.03	12917.26	14440.68	14830.19	9812.83	10448.85	12018.98	10717.3	11249.57	12326.49	12194.99	11643.13	8259.1
848.666	14784.36	14889.15	14612.4	11664.85	11994.77	13826.42	13987.44	13717.44	14133.92	14102.69	13499.1	15680.1	13217.66	8882.41	13335.37	13339.18	13687.57	14709.42	12149.21	11249.67	11633.04	13674.16	13524.79	13424.37	11921.33	11007.09	11965.84	13012.27	13009.45	11957.31	13360.95	12780.95	10173.57	14027.11	14077.81	13255.75	11282.2	11847.05	12552.38	12936.43	12831.35	13189.89	15998.03	13756.14	12241.85	12958.05	13579.14	12461.56	13239.21	13766.47	14248.56	15951.27	13079.99	13336.22	14636.12	14715.38	14776.77	14457.95	13554.97	14777.78	15263.48	10327.65	10996.11	12625.58	11347.32	11851.24	12950.11	12854.1	12284.56	8701.75
878.665	15007.38	14953.21	14696.82	12170.93	12455.12	14134.82	14216.33	13831.71	14136.13	14264.73	13513.52	15874.02	13266.61	9257	13365.13	13355.11	14208.01	14826.53	12496.83	11607.15	11978.4	13735.09	13549.29	13427.48	12338.26	11443.76	12243.06	13080.09	13147.58	12315.63	13384.78	12875.68	10570.89	14155.81	14087.46	13400.66	11634.52	12223.4	13036.58	12938.27	12857.29	13246.47	16121.95	14072.52	12491.91	13025.64	14033.51	12649.78	13251.14	14056.14	14325.75	16077.5	13314.53	13612.78	14984.98	14834.55	14828.59	14856.12	13966.19	14922.58	15522.28	10762.65	11390.97	13109.1	11816.66	12286.77	13377.49	13309.6	12742.92	8976.52
