Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)
317.155	6955.33	7905.99	8257.12	10487.51	7365.54	7001.59	8255.55	12510.25	10335.75	7320.46	8721.9	10164.84	9489.83	6753.98	8123.67	6412.39	7883.55	9001.47	11090.6	8113.14	8195.58	9046.78	12235.74	6069.16	6324.88	10388.22	6980.12	8311.43	12274.51	7110.9	14068.79	11282.38	4495.09	11714.85	12402.85	8544.96	8497.71	9792.89	10867.62	9265.16	11530.73	9509.1	9358.57	9636.94	9157.56	8843.73	8485.25	9967.63	8446.48	2646.92	9213.75	7249.96	7116.36	7848.63	10806.53	8317.32	5691.63	11702.22	9693.64	11555.11	8305.97	7845.44	7715.06	9467.72	6052.52	7155.02	7122.66	6911.79	7237.68	8377.62	7996.58	7865.4
347.138	7350.65	8382.53	8711.26	10998.57	7891.88	7491.03	8710.74	13087.81	10954.88	7662.62	9239.05	10802.85	9995.31	7120.42	8621.85	6788.9	8385.17	9480.42	11594.87	8600.18	8652.78	9535.96	12470.32	6441.35	6661.55	10951.17	7384.41	8805	12680.95	7521.32	14626.89	11748.07	4894.9	12430.33	12886	9050.04	8995.52	10344.21	11437.23	9765.61	11994.85	10036.46	9938.51	10217.62	9714.2	9296.9	8949.96	10555.73	8923.97	2886.39	9707.84	7621.63	7615.39	8321.28	11284.84	8729.59	5989.65	12102.46	10230.64	11936.73	8787.66	8286.63	8119.77	9933.16	6470.6	7605.82	7499.39	7359.92	7635	8811.41	8472.88	8301.78
377.231	7967.33	9131.28	9499.34	11884.62	8651.95	8249.96	9423.99	13861.79	11929.75	8269.41	10092.86	11761.06	10857.87	7721.91	9397.34	7401.59	9166.83	10277.26	12183.33	9376.07	9381.03	10325.45	12711.61	6993.68	7231.13	11687.23	7985.15	9609.88	13150.81	8159.76	15256.79	12359.54	5446.03	13562.07	13483.32	9837.77	9804.32	11278.88	12096.34	10595.35	12559.3	10821.61	10813.05	11153.53	10589.75	10008.25	9725.96	11372.9	9700.84	3184.41	10518.44	8283.63	8374.36	9037.2	12079.97	9414.67	6499.1	12527.28	11086.89	12457.81	9518.77	8986.3	8761.72	10706.93	7070.22	8247.25	8157.38	8039.45	8310.22	9539.03	9232.11	9006.64
407.230	7500.19	8620.56	8930.01	11088.39	8264.37	7861.66	8836.04	13276.94	11269.6	7728.48	9506.23	11145.01	10192.77	7275.42	8840.29	6968.16	8715.76	9628.09	11739.94	8857.16	8819.95	9681.06	12543.71	6615.56	6761.65	11219.61	7506.9	9060.14	12740.93	7678.81	14789.42	11823.29	5333.45	12789.35	12932.04	9248.88	9251.64	10572.59	11530.85	9920.99	12071.66	10164.22	10134.38	10526.22	10012.97	9356.71	9177.01	10770.12	9119.88	3119.44	9889.36	7815.8	7978.05	8518.17	11305.92	8819.68	6108.41	12208.76	10391.5	11933.95	8977.86	8424.95	8203.96	10002.49	6748.07	7771.37	7640.73	7630.55	7827.97	8942.64	8709.82	8479.8
437.151	8238.74	9487.91	9793	12047.44	9137.38	8705.19	9674.99	14044.49	12337.82	8387.53	10464.06	12117.26	11131.41	7956.8	9694.12	7683.79	9631.41	10509.94	12338.84	9733.15	9656.06	10544.3	12768.81	7260.73	7376.16	11943.74	8235.18	9969.79	13237.55	8395.62	15418.36	12482.13	5958.55	14043.43	13616.85	10140.04	10168.34	11595.72	12274.89	10820.47	12663.76	11057.11	11072.53	11570.35	11018.92	10179.64	10042.54	11641.19	9990.81	3480.53	10794.27	8567.36	8864.7	9363.8	12168.13	9593.32	6667.01	12643.36	11371.44	12506.34	9839.6	9226.06	8940.46	10886.21	7471.35	8532.11	8364.3	8411.3	8556.12	9775.8	9552.6	9261.07
467.165	8510.36	9811.61	10076.17	12351.54	9499.22	9060.83	9931.56	14218.68	12705.71	8602.13	10836.87	12416.7	11457.34	8201.12	10017.94	7928.89	9975.85	10803	12469.35	10041.95	9941.62	10824.93	12818.67	7492.76	7616.39	12141.13	8459.54	10300.45	13355.6	8664.41	15566.97	12619.43	6347.85	14464.94	13728.48	10463.57	10496.88	11955.36	12450.69	11121.3	12822.83	11308.58	11343.25	11925.06	11380.89	10415.62	10354.88	11886.79	10287.01	3678.91	11117.83	8796.53	9207.76	9629.95	12353.1	9804.25	6837.15	12737.98	11727.1	12633.65	10097.86	9471.7	9158.83	11126.99	7767.48	8798.63	8600.82	8710.03	8805.03	10025.81	9851.34	9547.33
497.040	8876.7	10272.38	10538.65	12852.19	10030.28	9600.05	10387.8	14442.65	13188.31	8957.78	11376.81	12790.58	11894.3	8569.53	10489.58	8287.56	10523.63	11265.9	12633.94	10525.77	10384.26	11285.71	12862.53	7855.18	7921.49	12407.7	8855.3	10786.17	13509.36	9040.58	15771.68	12847.07	6791.22	14947.19	13926.13	10973.52	11013.91	12464.49	12681.92	11577.62	12999.07	11687.26	11723.15	12397.31	11944.55	10854.94	10830.8	12201.9	10745.04	3942.13	11619.79	9185.1	9705.18	10077.68	12661.73	10178.19	7152.04	12875.63	12224.12	12818.47	10599.3	9872.28	9563.06	11564.48	8181.54	9241.36	8968.83	9156.7	9224.2	10455.81	10313.01	9957.84
527.148	8843.22	10187.96	10426.14	12608.44	10031.78	9608.05	10269.88	14379.12	13113.67	8796.95	11286.28	12749.53	11775.52	8452.18	10377.99	8216.92	10478.09	11135.54	12598.38	10480.99	10286.84	11131.78	12848.88	7832.62	7872.3	12371.56	8765.46	10702.18	13455.86	8945.07	15732.27	12757.1	6899.94	14839.43	13853.88	10840.38	10939.72	12334.98	12615.47	11449.06	12932.3	11546.27	11665.04	12323.89	11864.92	10679.76	10734.87	12132.29	10663.58	4005.58	11476.92	9094.34	9670.17	9991.23	12483.4	10001.82	7065.87	12853.21	12085.25	12718.08	10491.31	9747.57	9438.67	11383.02	8167.72	9136.77	8881.23	9113.2	9172.11	10299.71	10265.5	9859.77
557.490	9364.73	10860.3	11090.46	13338.17	10724.15	10298.47	10893.68	14635.17	13742.91	9289.79	12050.8	13090.49	12348.55	8990.07	11036.39	8741.09	11196.99	11780.52	12754.9	11077.21	10919.12	11764.82	12891.88	8338.28	8342.98	12620.86	9301.23	11363.78	13622.22	9487.28	15969.37	13032.27	7500.91	15356.69	14090.24	11527.75	11577.47	13062.77	12890.92	11972.48	13172.66	12033.71	12113.87	12901.88	12612.13	11236.81	11390.6	12536.37	11261.49	4341.52	12138.03	9643.85	10345.83	10630.44	12892.34	10573.87	7478.84	12965.08	12801.6	12961.18	11160.37	10351.19	9973.93	11999.89	8741.92	9737.62	9429.02	9710.23	9710.99	10923.07	10896.2	10425.7
587.473	9890.99	11476.43	11725.09	13895.63	11390.74	10937.78	11475.16	14784.71	14100.76	9732.16	12697.69	13315.57	12792.17	9464.23	11607.99	9244.91	11875.74	12373.26	12858.52	11598.99	11494.1	12349	12911.63	8779.45	8787.38	12755.8	9791.19	11988.3	13711.28	9989.18	16094.04	13222.77	8044.98	15711.32	14226.47	12054.39	12087.27	13680.19	13069.31	12426.64	13335	12383.4	12478.04	13343.28	13159.39	11799.16	11964.22	12778.78	11717.35	4678.28	12779.43	10138.44	10987.19	11144.69	13177.45	11051.65	7885.35	13033.97	13422.1	13116.57	11735.53	10872.93	10476.79	12499.51	9272.49	10234.21	9896.57	10282.22	10210.21	11445.77	11449.07	10977.9
