Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#88 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)	#140 (DAPI)	#141 (DAPI)	#142 (DAPI)	#143 (DAPI)	#144 (DAPI)	#145 (DAPI)	#146 (DAPI)	#147 (DAPI)	#148 (DAPI)	#149 (DAPI)	#150 (DAPI)	#151 (DAPI)	#152 (DAPI)	#153 (DAPI)	#154 (DAPI)	#155 (DAPI)	#156 (DAPI)	#157 (DAPI)	#158 (DAPI)	#159 (DAPI)	#160 (DAPI)	#161 (DAPI)	#162 (DAPI)	#163 (DAPI)	#164 (DAPI)	#165 (DAPI)	#166 (DAPI)	#167 (DAPI)	#168 (DAPI)	#169 (DAPI)	#170 (DAPI)	#171 (DAPI)	#172 (DAPI)	#173 (DAPI)	#174 (DAPI)	#175 (DAPI)	#176 (DAPI)	#177 (DAPI)	#178 (DAPI)	#179 (DAPI)	#180 (DAPI)	#181 (DAPI)	#182 (DAPI)	#183 (DAPI)	#184 (DAPI)	#185 (DAPI)	#186 (DAPI)	#187 (DAPI)	#188 (DAPI)	#189 (DAPI)	#190 (DAPI)	#191 (DAPI)	#192 (DAPI)	#193 (DAPI)	#194 (DAPI)	#195 (DAPI)	#196 (DAPI)	#197 (DAPI)	#198 (DAPI)
513.872	15255.65	13844.44	14772.21	15095.77	15336.39	15534.88	16161.67	15169.29	16219.54	14820.25	13851.01	14464.01	14705.04	15516.49	16010.28	15913.04	15945.25	15838.61	15862.6	16253.04	14769.71	14576.09	14076.7	14597.82	15531.28	15768.97	16261.45	16245.97	14824.58	13624.42	14298.86	16240.8	14918.54	14684.37	13917.82	14595.02	16266.75	13214.92	14032.02	14985.57	13523.53	13551.9	13122.86	13123	13425.33	15271.38	15993.3	16383	16369.71	16381.92	12955.22	14080.06	15140.57	13051.03	12939.05	16276.14	15409.84	14126.14	13943.15	13227.95	13028.3	13102.53	13321.2	16115.99	16383	16330.4	13258.08	15177.14	16344.73	15990.41	16312.71	14763.31	13788.21	13705.61	13114.89	12733.72	14087.58	14988.63	13689.61	14114.4	15299.16	14847.9	12921.56	14061.15	14796.76	16341.01	16099.76	14723.07	14295.86	14168.77	13897.41	13716.68	13330.34	13070.76	13191.53	13993.79	15969.64	16197.3	14955.39	15813.36	16014.98	12807.32	15797.9	13659.98	12836.37	13169.55	16096.79	16124.31	13401.85	12805.52	15666.59	15694.79	13651.32	13195.69	13292.59	13002.08	13088.34	16341.37	14818.91	13556.64	14464.2	16304.54	15788.58	12286.89	13180.08	13860.88	14181.95	14736.89	15505.84	15212.72	13356.23	15712.53	13834.43	13847.54	13554.34	14364.17	15958.58	15964.73	15708.65	14061.67	14291.45	16049.01	15727.7	15595.45	14253.98	16003.16	16208.65	14712.93	15246.82	13680.71	14924.2	13996.18	14276.1	16088.79	16299.3	15078.1	15310.59	15137.05	15022.13	16083.63	15797.03	15395.35	15988.34	15588.59	15329.43	15259.74	15560.43	14365.35	15556.4	10169.33	16016.15	15873.16	12540.88	15902.25	15758.88	11625.26	14293.39	15644.55	15144.1	15923.95	15918.85	14873.45	15541.63	11983.57	14533.91	15861.12	14817.97	12241.55	12714.57	14569.78	15887.04	15511.8	15101.34	14693.15	14228.36	11185.91	13709.32	14054.36
544.277	15436.66	14150.22	14792.44	15132.73	15362.64	15644.76	16206.55	15345.48	16238.85	14838.84	13957.55	14469.55	14737.93	15526.79	16011.37	15947.05	15995.58	15873.9	15962.6	16294.11	14939.74	14605.89	14087.94	14601.92	15599.85	15862.7	16290.1	16254.74	14824.89	13657.31	14330.96	16251.71	15151.08	14685.96	13948.2	14599.57	16283.21	13233.98	14045.39	14995.03	13589.2	13561.74	13122.83	13126.74	13426.6	15288.96	16019.59	16383	16378.38	16382.83	12957.87	14077.7	15146.92	13068.07	12938.68	16289.44	15410.55	14130.38	13944.21	13238.96	13036.72	13104.17	13338.31	16158.71	16383	16351.49	13288.29	15226.82	16365.82	16133.56	16332.95	14766.2	13838.92	13713.59	13126.79	12775.87	14098.12	15003.08	13694.8	14162.16	15379.95	14845.63	12927.71	14075.74	14811.31	16347.63	16169.11	14972.13	14450.35	14172.02	13922.15	13725.03	13349.46	13074.13	13208.16	14055.52	16033.26	16228.24	14954.25	15907.88	16070.45	12839.14	15890.64	13663.13	12848.05	13196.12	16123.08	16186.65	13606.01	12832.46	15720.83	15809.93	13658.66	13250.82	13296.09	13029.9	13098.93	16346.11	14847.81	13587.3	14682.37	16308.13	15861.54	12592.02	13189.89	13858.66	14206.96	14770.27	15602.6	15277.97	13382.61	15811.73	13977.96	13848.27	13576.98	14380.07	16039.33	16005.59	15716.59	14071.22	14294.15	16084.72	15771.54	15660.47	14339.57	16044.93	16224.39	14983.96	15376.32	13973.84	15098.89	14117.58	14391.79	16094.39	16305.82	15296.74	15342.92	15153.53	15131.84	16097.89	15875.17	15556.24	16031.03	15670.75	15394.12	15388.53	15679.41	14650.36	15692.3	10522.85	16038.21	15904.87	12909.21	15946.1	15823.52	11883.3	14453.03	15711.22	15251.62	15991.79	15962.97	15014.39	15579.33	12284.03	14737.05	15927.3	14986.74	12473.14	12927.96	14740.23	15935.22	15592.65	15229.44	14772.3	14411.89	11529.64	13972.54	14273.36
574.260	15723.48	14549.06	14825.58	15171.47	15405.77	15842.78	16257.15	15606.83	16284.48	14867.85	14133.84	14471.93	14764.51	15535.86	16051.79	16018.3	16063.6	15962.94	16121.62	16350.34	15167.72	14642.74	14094.73	14606.54	15699.5	15972.99	16319.82	16293.08	14828.39	13707.6	14353.73	16307.34	15447.47	14686.45	13990.13	14605.69	16317.17	13270.74	14061.88	15010.85	13706.32	13585.13	13121.57	13131.33	13427.75	15292.76	16079.49	16383	16381.46	16382.99	12960.09	14077.44	15151.6	13092.66	12940.28	16299.02	15414.16	14136.44	13948.46	13252.73	13048.74	13107.47	13352.45	16220.16	16383	16357.14	13331.01	15288.28	16378.8	16257.9	16341.57	14768.5	13883.51	13724.53	13153.22	12815.03	14111.35	15027.86	13702.73	14243.81	15531.67	14844.25	12928.92	14084.28	14833.74	16353.73	16242.18	15290.17	14659.31	14174.7	13948.39	13733.23	13359.17	13071.95	13231.05	14118	16093.64	16253.5	14960.03	16017.22	16177.62	12857.72	16007.95	13666.41	12855.1	13215.79	16180.97	16270.04	13988.15	12870.34	15815.31	15968.45	13663.93	13314.32	13297.76	13082.19	13097.89	16373.99	14877.7	13633.12	15019.95	16317.53	15980.21	13165.17	13198.16	13865.63	14212.44	14791.08	15709.92	15321.27	13409.28	15909.21	14183.35	13858.02	13575.21	14396.27	16135.71	16058.43	15727.8	14077.89	14301.32	16145.54	15850.87	15738.4	14454.66	16119.5	16243.22	15296.81	15574.73	14421.87	15414.13	14331.84	14527.21	16091.68	16309.81	15560.94	15379.69	15190.28	15264.84	16159.88	16008.87	15790.54	16074.04	15823.02	15503.62	15628.19	15851.18	14998.83	15846.17	11055.07	16064.87	15973.54	13429.41	16001.41	15955.39	12375.94	14751.35	15837.09	15454.14	16088.88	16011.6	15217.98	15665.32	12768.27	15116.87	16016.96	15264.5	12931.42	13337.25	15070.54	16024.29	15708.24	15401.23	14882.15	14776.75	11995.74	14410.95	14662.53
604.524	15903.14	14870.39	14842.63	15208.15	15453.09	15990.22	16297.48	15794.51	16298.15	14895.69	14255.51	14481.29	14806.49	15565.4	16078.43	16092.18	16133	16018.28	16248.72	16364.93	15389.61	14657.68	14104.71	14611.44	15782.61	16076.08	16333.35	16310.63	14829.75	13746.13	14380.48	16326.72	15687.92	14686.31	14029.8	14614.34	16339.03	13290.81	14079.82	15018.93	13783.48	13602.35	13121.51	13130.82	13429.61	15316.29	16117.93	16383	16382.15	16381.85	12961.13	14079.29	15152.89	13114.92	12942.27	16326.83	15414.96	14133.36	13951.21	13260.37	13053.97	13105.37	13368.47	16268.47	16383	16371.98	13362.12	15352.86	16382.5	16336.22	16350.94	14773.71	13914.69	13734.4	13190.04	12859.61	14133.61	15038.61	13704.87	14295.37	15671.96	14849.99	12936.78	14096.45	14854.96	16369.3	16313.42	15582.25	14831.41	14178.75	13967.82	13741.52	13383.64	13078.94	13256.93	14213.09	16178.75	16304.42	14964.12	16117.59	16223.78	12882.25	16111.07	13667.54	12858.73	13238.87	16225.71	16326.28	14246.1	12898.6	15898.77	16100.27	13671.76	13364.57	13303.49	13133.82	13110.44	16380.27	14897.79	13681.56	15302.87	16333.59	16073.17	13654.56	13206.43	13866.36	14247.62	14827.13	15801.43	15381.31	13440.57	16017.56	14361.24	13863.23	13605.69	14402.33	16197.99	16111.77	15736.06	14091.01	14310.25	16207.04	15966.07	15792.54	14543.3	16167.22	16274.47	15566.28	15721.98	14852.69	15632.15	14530.85	14649.59	16115.2	16323.05	15778.49	15422.78	15207.27	15383.4	16214.82	16124.93	15957.48	16118.11	15940.07	15657.84	15823.42	16036.91	15330.46	15988.74	11627.81	16112.19	16041.4	13914.4	16055.61	16052.98	12862.25	15011.25	15951.78	15619.74	16187.4	16084.79	15435.95	15759.51	13231.35	15381.4	16115.74	15502.41	13409.26	13743.55	15319.39	16118.2	15825.47	15586.8	15015.16	15056.87	12496.43	14764.86	14982.08
634.414	16003.23	15058.23	14853.8	15222.93	15457.81	16030.42	16320.22	15884.2	16312.22	14901.52	14324.79	14478.49	14815.19	15562.03	16078.04	16110.8	16147.09	16057.19	16296.96	16376.29	15495.11	14662.87	14108.42	14608.69	15811.12	16116.58	16346.85	16322.56	14831.85	13766.76	14388.26	16348.56	15801.86	14688.47	14043.57	14617.21	16350.39	13304.01	14081.91	15021.59	13811.31	13605.32	13121.03	13133.52	13425.77	15320.33	16130.5	16383	16383	16383	12959.18	14081.18	15156.95	13124.81	12942.28	16323.04	15415.49	14137.63	13950.73	13267.22	13054.03	13106.04	13373.89	16285.94	16383	16377.71	13375.2	15380.7	16382.79	16350.99	16352.72	14772.3	13928.42	13734.6	13191.21	12880.41	14134.74	15044.05	13706.09	14322.29	15726.09	14847.22	12931.98	14092.93	14856.36	16365.04	16328.2	15708.46	14909.42	14179.22	13977.09	13744.83	13387.06	13081.49	13260.7	14236.39	16193.04	16313.53	14963.75	16157.12	16249.54	12886.87	16132.15	13666.7	12860.85	13248.18	16234.78	16338.35	14381.3	12908.44	15941.52	16140.15	13672.57	13383.12	13303.87	13146.69	13115.69	16382.76	14904.56	13692.89	15429.64	16323.74	16104.77	13943.24	13211.76	13863.04	14252.06	14832.39	15837.17	15387.09	13442.48	16054.38	14418.06	13863.32	13602.02	14410.51	16229.93	16129.83	15735.86	14092.65	14310.54	16221.33	15967.9	15810.6	14580.58	16189.41	16276.94	15706.53	15799.47	15054.9	15729.48	14607.99	14676.45	16097.83	16323.54	15877.27	15422.31	15218.91	15429.08	16215.86	16159.34	16029.95	16119.09	15980.91	15675.8	15899.42	16089.52	15458.69	16035.77	12024.93	16104.95	16045.49	14208.94	16043.48	16091.13	13129.15	15136.76	15988.51	15687.74	16216.91	16093.03	15539.47	15775.46	13480.82	15514.11	16141.86	15601.94	13647.74	13952.07	15429.77	16121.42	15844.88	15628.9	15070.44	15200.81	12806.78	14946.67	15137.06
664.507	16128.91	15325.64	14866.09	15239.96	15475.18	16132.94	16338.94	16028.69	16313.83	14918.78	14411.95	14480.82	14850.96	15580.04	16106.36	16166.03	16185.69	16110.16	16339.78	16381.54	15624.3	14680.42	14111.29	14614.07	15865.67	16183.85	16353.67	16339.96	14834.28	13787.66	14406.45	16359.24	16015.5	14687	14064.39	14622	16358.43	13315.9	14086.02	15029.59	13840.71	13614.37	13119.97	13137.2	13430.42	15326.01	16169.97	16383	16383	16383	12964.9	14087.25	15160.14	13133.26	12945.79	16338.94	15417.51	14141.7	13955.46	13268.76	13056.97	13106.41	13377.74	16316.38	16383	16382.1	13388.99	15428.62	16383	16375.38	16355.82	14774.1	13958.55	13730.97	13205.37	12895.12	14142.71	15046.42	13707.59	14361.03	15845.03	14850.56	12936.43	14102.66	14864.58	16373.97	16368.94	15963.08	15016.04	14179.59	14006.18	13745.79	13395.22	13080.88	13280.5	14296.39	16243.16	16340.52	14964.09	16230.13	16308.02	12900.55	16214.58	13670.75	12862.76	13257.97	16271.23	16372.08	14610.37	12930.01	16037.87	16235	13680.28	13419.78	13304.5	13176.31	13135.36	16383	14932.19	13723.99	15638.59	16340.16	16178.74	14440.04	13215.51	13869.22	14271.68	14869.9	15890.94	15426.72	13460.16	16133.42	14534.48	13879.18	13621.26	14418.96	16277.75	16144.92	15742.28	14101.75	14314.36	16260.44	16044.17	15854.88	14649.36	16228.35	16320.39	15891.3	15981.91	15410.84	15902.9	14779.06	14751.37	16134.58	16337.76	16003.99	15444.6	15237.47	15530.31	16267.39	16250.7	16156.37	16173.43	16074.4	15800.43	16056.84	16209.46	15754.41	16163.42	12688.76	16156.36	16111.56	14782.29	16121.14	16165.68	13665.2	15400.66	16088.15	15847.05	16269.21	16167.16	15720.58	15866.08	13992.98	15790.47	16225.3	15825.97	14203.92	14313.7	15661.28	16200.11	15974.74	15790.1	15222.96	15497.04	13428.63	15296.87	15425.83
694.599	16130.52	15300.16	14857.95	15243.96	15465.53	16132.49	16331.63	15984.44	16299.99	14909.6	14406.45	14479.66	14839.98	15567.07	16089.23	16160.09	16184.26	16087.79	16335.58	16378.1	15590.39	14668.97	14114.81	14610.61	15869.9	16172.39	16345.78	16327.34	14829.51	13778.61	14403.54	16345.78	15973.66	14688.58	14071.93	14609.8	16339.82	13315.77	14082.35	15024.07	13838.57	13608.22	13119.22	13134.88	13425.64	15321.72	16158.09	16383	16383	16382.99	12965.61	14081.98	15159.29	13137.33	12942.81	16331.58	15414.33	14139.09	13953.14	13269.98	13057.54	13106.96	13380.51	16315.9	16383	16381.78	13388.4	15415.96	16383	16374.83	16355.2	14775.06	13949.1	13738.67	13209.57	12898.73	14139.57	15046.38	13706.73	14351.37	15832.46	14850.93	12937.01	14101.84	14858.82	16371.35	16362.23	15898.26	15010.53	14176.45	14000.8	13745.04	13394.55	13081.44	13277	14301.64	16249.91	16328.2	14963.18	16231.11	16298.35	12898.54	16201.91	13666.94	12862.1	13266.11	16270.52	16362.28	14577.57	12932.64	16034.06	16227.5	13673.74	13417.51	13306.45	13175.56	13130.93	16383	14928.24	13724.18	15617.58	16337.17	16171.05	14430.06	13214.36	13864.24	14270.48	14857.92	15879.01	15419.25	13458.96	16121.62	14540.64	13867.97	13623.17	14413.73	16279.07	16139.75	15739.44	14105.21	14312.43	16251.28	16045.52	15851.67	14636.09	16226.41	16313.65	15889.49	15898.97	15365.78	15901.65	14752.55	14741.87	16112.88	16331.6	15990.94	15441.52	15230.78	15501.6	16222.56	16235.47	16138.39	16158.31	16046.97	15717.37	16022.98	16191.46	15743.74	16154.34	12770.26	16112.78	16082.94	14729.33	16131.69	16171.91	13629.51	15342.85	16056.84	15837.29	16258.51	16137.29	15651.55	15835.56	13951.4	15716.97	16196.65	15755.35	14031.37	14240.12	15621.5	16162.81	15905.61	15752.72	15096.25	15420.98	13401.05	15252.27	15293.21
724.489	16161.16	15389.94	14865.22	15246.44	15476.02	16172.31	16333.25	16022.98	16296.62	14913.05	14426.84	14482.75	14836.29	15565.12	16091.49	16175.31	16189.24	16090.09	16338.66	16381.95	15640.8	14672.65	14108.8	14614.22	15880.75	16180.3	16347.32	16320.28	14827	13787.51	14405.73	16346.37	16011.39	14688.56	14076.76	14601.93	16342.41	13318.99	14084.97	15026.1	13842.43	13610.92	13124.6	13134.6	13427.96	15324.59	16154.09	16383	16383	16383	12966.58	14080.52	15160.75	13141.67	12945.06	16327.29	15415.22	14140.87	13952.25	13268.16	13056.26	13105.72	13380.98	16312.09	16383	16382.01	13387.93	15413.57	16383	16378.23	16356.64	14774.75	13958.34	13736.26	13212.58	12903.49	14132.99	15046.55	13708.4	14363.58	15856.84	14849.87	12935.53	14104.99	14860.88	16370.17	16375.91	15982.22	15043.15	14176.04	14004.32	13745.62	13401.11	13081	13274.27	14318.26	16256.98	16334.33	14967.06	16251.96	16303.95	12902.95	16210.17	13669.71	12862.06	13266.88	16278.51	16368.39	14652.63	12939.15	16048.44	16266.66	13675.67	13426.73	13304.4	13182.71	13131.9	16382.56	14931.9	13729.12	15685.17	16335.36	16193.98	14623.36	13216.72	13862.59	14273.55	14865.9	15894.26	15425.29	13465.19	16145.13	14575.22	13869.46	13622.18	14412.47	16288.08	16145.36	15741.99	14105.43	14313.29	16266.92	16065.96	15866.61	14665.81	16239.24	16318.86	15955.4	15927.07	15493.98	15951.81	14784.21	14775.64	16098.57	16336.44	16036.01	15441.32	15239.01	15517.98	16219.09	16259.29	16171.88	16172.22	16064.66	15721.25	16063.44	16219.17	15836.16	16186.6	13090.36	16117.81	16096.89	14941.94	16142.24	16201.31	13818.99	15432.98	16075.09	15867.22	16278.03	16135.51	15695.65	15861.31	14113.7	15802.8	16223.68	15793.57	14208.31	14320.55	15680.46	16163.27	15912.5	15786.02	15090.73	15494.34	13635.02	15345.55	15393.46
754.488	16103.78	15272.2	14841.79	15240.31	15447.93	16117.5	16301.57	15905.01	16239.58	14900.19	14388.03	14461.7	14806.91	15527.33	16040.59	16118.86	16139.59	16056.92	16319.43	16374.43	15546.69	14666.44	14100.73	14612.07	15833.2	16148.29	16324.53	16280.99	14825.14	13766.4	14388.95	16324.28	15868.82	14684.05	14057.65	14570.16	16313.69	13301.56	14068.13	15013.54	13826.68	13596.21	13124.56	13132.04	13431.1	15303.48	16106.08	16383	16383	16381.06	12966.51	14071.88	15155.47	13135.85	12941.42	16295.79	15411.76	14133.16	13950.34	13267.79	13054.78	13099.9	13378.19	16278.76	16383	16381.38	13386.91	15339.89	16383	16374.82	16350.87	14772.35	13949.99	13736.55	13208.03	12890.87	14128.92	15040.04	13699.87	14323.3	15766.76	14850.3	12932.37	14099.6	14848.31	16362.74	16363.47	15813.22	15002.23	14171.64	13997.89	13739.36	13396.27	13079.59	13264.85	14293.13	16230.17	16309.37	14961.19	16221.48	16268.94	12899.8	16166.01	13661.88	12864.67	13262.53	16266.97	16343.68	14522.66	12930.47	16019.28	16239.54	13665	13418.83	13299.64	13167.82	13120.08	16381.66	14914.73	13715.78	15565.25	16317.38	16165.76	14374.66	13208.61	13861.36	14266.07	14838.12	15870.22	15410.9	13452.88	16115.81	14504.06	13863.87	13615.37	14404.16	16268.79	16119.01	15734.09	14103.98	14308.87	16233.95	16020.56	15841.87	14632.4	16209	16303.96	15844.69	15738.16	15262.85	15866	14692.26	14729.05	16012.47	16328.45	15985.01	15425.07	15200.77	15435.58	16109.15	16183.34	16122.92	16142.66	15970.94	15478.13	15934.28	16145.74	15688.19	16114.46	12844.16	16005.54	15973.44	14660.66	16099.57	16136.14	13451.39	15225.65	15984.51	15787.78	16230.72	16035.6	15491.25	15790.98	13782.66	15592.3	16161.99	15622.74	13727.57	13976.92	15491.75	16049.94	15745.11	15625.35	14808.35	15259.9	13304.44	15128.5	15074.75
784.518	16100.62	15314.37	14830.01	15234.3	15433.25	16115.53	16291.6	15906.96	16226.12	14892.12	14389.85	14457.12	14802.11	15501.61	16015.64	16104.3	16113.17	16023.56	16315.81	16374.71	15564.55	14670.65	14094.3	14614.69	15825.5	16151.61	16313.07	16248.43	14821.64	13756.76	14377.47	16310.98	15894.59	14682.66	14063.41	14541.94	16306.9	13299.3	14067.85	15013.36	13822.31	13594.66	13122.59	13129	13425.83	15300.21	16075.74	16383	16383	16380.14	12966.52	14065.16	15156.38	13130.08	12941.34	16279.63	15411.81	14136.66	13950.87	13267.89	13054.97	13102.19	13378.4	16275.62	16383	16381.87	13383.28	15322.79	16383	16377.14	16351.34	14774.04	13955.94	13738.99	13201.37	12891.9	14120.1	15039.7	13691.42	14327.12	15767.97	14852.71	12923.09	14096.27	14852.14	16352.33	16365.39	15840.61	15006.8	14169.39	13999.24	13742.78	13394.85	13076.1	13256.42	14307.95	16234.57	16289.29	14957.56	16225.95	16264.8	12899.88	16169.58	13661.82	12866.68	13255.63	16270.51	16340.99	14543.19	12936.56	16002.19	16241.23	13665.79	13426.98	13302.33	13169.32	13127.13	16380.93	14921.17	13718.68	15582.23	16296.99	16151.71	14448.62	13210.92	13859.39	14274.73	14830.26	15873.44	15408.67	13456.81	16124.03	14532.99	13867.27	13610.12	14399.48	16272.1	16124.45	15729.48	14102.57	14302.93	16229.26	16003.4	15845.98	14628.9	16192.15	16309.64	15871.47	15716.55	15305.79	15889.76	14713	14759.42	15969.91	16326.82	16000.19	15427.56	15189.77	15420.03	16071.99	16193.4	16153.73	16154.33	15958.52	15410.11	15942.26	16154.12	15705.57	16134.51	13021.96	15971.19	15946.69	14684.4	16092.48	16147.65	13555.82	15257.45	15980.81	15828.96	16229.16	16018.96	15471.83	15758.38	13842.11	15630.12	16170.44	15598.12	13725.93	13975.53	15492.13	16011.03	15706.6	15593.82	14762.49	15282.53	13427.15	15184.07	15055.42
814.829	16103.98	15350.84	14831.64	15235.46	15436.73	16124.83	16290.31	15918.23	16211.95	14892.58	14401.45	14451.73	14801.13	15475.39	15998.91	16107.24	16117.75	16028.56	16321.61	16374.94	15576.66	14665.69	14099.73	14607.75	15826.12	16147.61	16312.45	16239.29	14817.82	13762.7	14386.74	16310.43	15892.87	14683.03	14057.11	14533.99	16300.99	13289.07	14062.15	15010.74	13829.28	13590.41	13124.06	13130.52	13427.75	15295.09	16057.43	16383	16383	16378.98	12966.83	14069.1	15154.82	13130.6	12935.42	16265.7	15410.86	14132.86	13952.69	13266.31	13052.3	13098.56	13375.71	16254.17	16383	16381.91	13387.88	15299.67	16383	16378.33	16349.31	14774.12	13953.16	13737.11	13198.63	12894.54	14123.13	15043.36	13691.35	14327.5	15761.66	14855.09	12923.18	14096.75	14852.01	16347.33	16365.35	15825.09	15025.95	14166.19	14000.56	13740.2	13390.28	13076.78	13249.28	14300.06	16220.4	16290.63	14960.54	16224.87	16251.61	12899.5	16148.21	13662.39	12866.11	13258.52	16274	16331.8	14547.96	12933.32	15995.49	16242.22	13665.54	13425.29	13296.41	13170.47	13113.73	16380.21	14919.11	13715.09	15593.91	16279.04	16140.29	14520.97	13206.81	13862.18	14274.35	14820.13	15885.14	15414.74	13450.27	16123.29	14521.16	13862.63	13600.41	14393.01	16273.74	16125.24	15731.06	14099.43	14293.36	16228.72	15972.76	15850.91	14625.75	16187.5	16287.9	15883.03	15670.79	15322.39	15878.77	14690.39	14751.28	15904.15	16323.31	16014.46	15419.81	15181.47	15396.73	16006.76	16181.4	16161.14	16128.61	15931.62	15315.51	15921.78	16147.53	15720.35	16124.55	13175.07	15889.29	15865.07	14726.98	16084.76	16124.04	13565.85	15208.19	15940.16	15813.61	16210.09	15971.36	15416.99	15710.44	13849.93	15598.12	16143.92	15563.7	13731.36	13956.46	15461.73	15954.05	15628.93	15568.84	14639.58	15265.97	13470.94	15150.53	14989.27
845.327	16185.98	15474.15	14853.44	15241.14	15461.08	16175.61	16322.76	16016.64	16251.37	14900.91	14454.16	14452.73	14819.84	15501.72	16028.28	16145.7	16143.24	16063.72	16353.77	16378.95	15644.89	14672.8	14101.17	14613.28	15860.24	16184.3	16327.89	16265.81	14821.69	13785.66	14389.23	16336.39	16033.35	14685.34	14074.53	14545.53	16321.44	13309.3	14076.14	15015.92	13854.79	13600.94	13124.61	13136.04	13428.54	15299.18	16088.85	16383	16383	16382.42	12967.63	14060.27	15161.2	13133.52	12940.19	16269.55	15413.41	14136.23	13954.09	13266.65	13058.31	13100.26	13377.7	16281.32	16383	16382.11	13391.12	15326.77	16383	16380.08	16353.14	14772.19	13961.68	13734.96	13211.37	12906.71	14135.47	15046.79	13703.66	14363.04	15816.97	14849.1	12930.08	14101.82	14855.88	16342.72	16372.21	15970.63	15069.23	14168.01	14002.21	13743.81	13396.11	13076.81	13255.34	14321.55	16243.51	16302.53	14960.73	16260.92	16288.41	12903.51	16195.43	13665.81	12865.19	13266.76	16282.96	16359.16	14689.47	12941.85	16026.19	16277.32	13671.14	13431.44	13301.91	13182.19	13112.63	16382.51	14928.52	13734.03	15726.36	16285.52	16177.42	14835.4	13210.62	13859.55	14271.84	14837.7	15893.9	15423.08	13457.44	16145.7	14598.25	13860.96	13604.24	14401.55	16286.61	16133.69	15735.18	14102.06	14301.87	16246.19	16014.3	15861.73	14657.04	16221.45	16304.06	15982.11	15770.94	15532.14	15980.66	14793.48	14786.09	15910.81	16325.84	16056.17	15436.06	15191.63	15439.76	16036.1	16238.7	16202.51	16145.04	16002.12	15388.5	16034.72	16222.79	15895.79	16199.08	13727.25	15923.88	15920.79	15076.84	16110.91	16188.95	13914.32	15363.8	16005.93	15881.14	16248.57	16001.01	15527.49	15752.67	14224.38	15744.44	16184.75	15700.32	14117.29	14215.13	15624.78	16021.34	15703.76	15684.47	14725.14	15413.48	13911.83	15364.27	15211.48
