Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
20.160	2903.26	2873.18	3847.93	2562.08	3102.08	2577.95	1122.24	2738.84	2166.58	2918.04	3338.72	2267.17	2915.48	2473.67	2700.86	3488.1	3845.46	2395.64	2426.89	3611.47	2640.14	4186.01	2814.16	2337.08	3556.38	3945.41	4148.03	3760.69	4129.87	3168.63	3770.39	3321.83	2842.3	3768.3	3957.32	4197.89	3695.01	3444.46	2614	2732.13	3131.4	3385.39	2737.73	2565.29	2763.91	3051.98	2695.92	2269.27	3867.49	4188.94	3163.64	2658.28	2213.03	2539.84	2687.7	3626.1	3103.35	2993.38	2131.33	2493.16	2242.54	3354.11	3126.66	2361.26	2317.24	1915.39	4413.48	2419.74	2572.82	2597.84	3701.76
50.081	3469.94	3528.68	4740.58	3099.11	3788.85	3067.22	1245.49	3310.85	2602.17	3550.22	4086.75	2710.79	3561.36	2976.33	3281.36	4285.25	4751.66	2867.52	2918.4	4458.59	3230.48	5178	3354.3	2803.55	4357.37	4868.69	5100.42	4620.99	5026.28	3882.78	4656.73	4045.11	3468.14	4638.45	4873.46	5198.97	4523.45	4254.89	3148.22	3312.65	3770.79	4081.65	3334.78	3071.76	3348.92	3774.27	3226.97	2746.31	4755.12	5179.37	3887.18	3257.75	2598.45	3072.68	3269.42	4369.37	3788.6	3643.35	2553.32	2958.57	2668.01	4069.71	3748.82	2766.26	2756.31	2253.27	5423.77	2876.96	3013.29	3109.72	4414.76
80.080	4097.73	4261.38	5743.13	3732.08	4565.62	3634.67	1401.99	4010.34	3102.07	4275.88	4925.58	3238.54	4285.96	3584.13	3977.61	5206.99	5762.48	3447.79	3480.37	5422.65	3918.83	6320.4	3994.3	3346.65	5282.65	5908.04	6184.44	5626.98	6096.49	4664.28	5685.87	4857.26	4196.1	5635.75	5896.89	6329.42	5483.21	5178.38	3756.62	3988.98	4493.62	4910.98	3993.95	3629.73	4030.03	4597.49	3838.97	3320.84	5775.95	6305.68	4731.63	3950.29	3016.79	3685.66	3932.17	5189.31	4574.84	4392.16	3063.3	3502.59	3193.57	4892.93	4512.07	3235.76	3278.49	2649.4	6518.46	3400.64	3531.77	3710.91	5198.65
110.235	4643.49	4915.86	6611.61	4300.45	5260.14	4138.31	1576.55	4605.16	3545.8	4886.51	5637.15	3708.53	4929.96	4106.68	4574.32	5981.02	6640.43	3945.13	3940.86	6270.52	4527.38	7275.22	4550.21	3829.49	6059.19	6811.98	7104.17	6472.28	6943.28	5350.01	6540.84	5557.36	4838.52	6478.43	6757.13	7297.33	6328.44	5979.77	4298.5	4561.67	5121.55	5573.54	4590.37	4112.96	4601.03	5346.86	4340.67	3806.06	6634.74	7251.21	5438.55	4558.36	3392.15	4257.18	4520.04	5846.37	5195.05	5022.9	3522.73	3937.28	3628.73	5569.16	5138.32	3638.83	3725.67	2999.41	7463.27	3870.83	3948.89	4201.78	5863.53
140.608	5309.86	5737.69	7643.27	4986.73	6085.9	4733.06	1808.96	5346.82	4112.97	5634.6	6503.94	4280.94	5723.32	4766.94	5313.66	6916.89	7739.78	4584.55	4529.14	7278.29	5288.6	8475.35	5251.97	4429.17	7045.4	7899.15	8179.5	7487	7984.85	6186.55	7612.62	6438.95	5644.35	7522.46	7824.88	8510.14	7365.28	6967.47	4950.75	5273.72	5902.74	6386.16	5310.63	4731.59	5321.44	6263.43	4964.42	4410.99	7662.27	8388.73	6310.74	5298.02	3847.73	4933.08	5259.98	6673.62	6038.9	5837.33	4075.91	4518.13	4191.32	6408.75	5910.71	4169	4282.65	3434.6	8586.35	4446.46	4505.82	4828	6669.05
170.561	5888.4	6420.97	8515.28	5583.3	6772.33	5275.05	2029.07	5991.56	4597.37	6244.2	7224.7	4809.65	6431.58	5340.96	5949.45	7719.4	8615.93	5142.76	5013.63	8163.93	5966.77	9450.38	5818.36	4956.85	7869.63	8844.02	9125.7	8356.56	8851.22	6906.19	8483.19	7160.86	6327.12	8408.78	8699.93	9522.46	8207.4	7805.47	5528.88	5868.82	6531.4	7093.57	5925	5213.19	5954.15	7033.54	5497.34	4933.95	8559.33	9367.11	7086.14	5943.46	4261.49	5558.88	5889.23	7329.05	6711.37	6499.32	4570.9	5011.98	4695.34	7089.61	6558.4	4603.88	4791.72	3820.07	9479.44	4938.02	4942.53	5361.34	7310.46
200.544	6384.7	7058.17	9279.74	6124.27	7400.27	5722.07	2258.62	6575.38	5060.34	6807.27	7826.57	5304.08	7077.73	5859.35	6520.85	8427.93	9431.92	5672.52	5417.82	8931.17	6576.04	10351.03	6318.77	5440.64	8633.71	9691	9895.78	9138.63	9598.52	7527.02	9272.26	7807.55	6971.19	9166.37	9465.11	10447.56	9008.81	8536.82	6003.62	6419.79	7120.72	7670.1	6474.7	5694.91	6463.85	7757.72	5952.6	5417	9323.81	10201.03	7770.75	6541.91	4605.23	6131.51	6442.9	7943.52	7304.99	7098.92	5057.6	5451.97	5158.7	7689.87	7136.76	5045.94	5253.26	4182.14	10280.37	5413.85	5360.39	5821.49	7971.89
230.543	6938.22	7758.63	10046.73	6701.6	8035.1	6228.87	2515.66	7208.36	5570.8	7369.96	8488.61	5828.62	7751.12	6446.85	7104.53	9143.32	10260.18	6198.5	5862.3	9749.31	7231.81	11258.15	6867.72	5955.55	9407.31	10531.81	10727.41	9915.29	10353.76	8185.79	10108.36	8507.37	7643.5	10004.96	10279.3	11419.59	9811.3	9327.74	6547.92	7014.38	7705.36	8319.66	7084.65	6156.7	7058.02	8556.75	6424.62	5927.16	10125.23	11080.65	8488.97	7166.06	4968.87	6746.01	7042.94	8527.05	7920.88	7738.39	5542.89	5922.9	5633.01	8319.26	7768.81	5453.24	5730.47	4575.88	11070.62	5904.57	5751.99	6301.85	8608.45
260.480	7492.17	8422.75	10821.61	7275.94	8674.63	6713.73	2806.49	7827.92	6032.9	7913.7	9104.68	6336.9	8415.97	6984.14	7713.39	9843.98	11053.98	6738.62	6289.58	10528.32	7880.56	12000.32	7427.83	6462.02	10175.61	11380.97	11409.71	10655.31	11154.79	8821.72	10861.56	9107.3	8307.24	10786.1	11068.22	12360.93	10629.74	10090.61	7070.89	7572.83	8285.48	8912.45	7655.54	6622.41	7582.41	9315.13	6873.38	6438.97	10836.33	11824.36	9175.33	7777.29	5338.58	7368.11	7637.23	9077.4	8510.48	8344.16	6050.1	6375.05	6109.5	8906.39	8348.48	5923.69	6225.61	4952.19	11855.74	6366.77	6156.66	6803.49	9247.26
290.479	8086.41	9151.83	11654.61	7903.87	9360.55	7252.49	3125.26	8471.9	6599.77	8509.01	9792.74	6934.2	9186.03	7641.36	8379.43	10612.15	11956.58	7345.12	6760.52	11402.58	8582.22	12553.85	8030.93	7053.09	11013.88	12229.97	12027.72	11464.81	11962.06	9544.7	11555.29	9829.71	9024.94	11629.56	11913.76	13423.07	11481.03	10879.62	7627.98	8202.99	8923.71	9603.64	8300.32	7123.31	8192.46	10118.87	7357.55	6986.23	11709.44	12509.03	9919.43	8454.04	5765.26	8033.98	8276.57	9699.78	9175.01	8986.28	6574.53	6906.52	6660.39	9546.01	9026.56	6410.24	6750.2	5369.75	12680.06	6909.68	6616.7	7306.79	9906.36
