Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
320.462	8777.54	9968.68	12546.89	8625.98	10154.91	7870.47	3496.44	9289.69	7233.29	9182.01	10589.46	7599.17	10034.15	8367.92	9119.12	11464.72	12954.02	8039.07	7288.79	12180.84	9439.92	13021.24	8725.01	7711.93	11881.28	13014.82	12488.22	12394.23	12875.8	10351.86	12110.51	10662.8	9865.23	12621.37	12733.18	14498.71	12497.3	11620.17	8330.83	8911.83	9664.12	10331.93	9037.83	7716.42	8892.82	11068.21	7956.73	7632.22	12593.48	13027.84	10803.56	9211.06	6223.31	8851.39	9046.07	10439.97	9895.21	9780.17	7187.01	7479.07	7258.84	10263.11	9807.58	6945.36	7376.02	5893.56	13625.22	7532.1	7099.33	7926.06	10670.34
350.461	9273.9	10600.46	13068.49	9145.88	10701.66	8341.74	3845.18	9855.78	7703.92	9676.86	11135.45	8136.3	10687.76	8899.95	9696.06	12083.2	13663.76	8586	7682.46	12563.36	10028.03	13244.46	9229.25	8221.34	12384.15	13451.4	12722.3	13060.11	13524.74	10964.05	12414.81	11273.32	10506.28	13342.15	13220.82	15106.8	13191.47	12019.2	8827.59	9457.43	10183.85	10896.02	9604.85	8161.34	9396.48	11702.68	8367.89	8091.1	13254.02	13277.28	11422.99	9798.41	6575.1	9472.76	9594.69	10910.85	10452.68	10329.9	7654.62	7909.97	7742.7	10771.17	10323.07	7383.75	7841.4	6252.9	14150.35	7965	7500.69	8355.11	11235.91
380.554	9986.33	11450.16	13716.87	9881.36	11490.44	8953.62	4266.35	10659.5	8370.2	10334.71	11920.65	8828.98	11596.54	9645.72	10464.01	12901.42	14513.99	9293.72	8202.56	12970.48	10887.66	13446.68	9970.26	8931.77	12933.28	13878	12931.85	13814.72	14387.96	11803.06	12695.91	12084.02	11369.54	14256.23	13698.61	15672.94	14156.15	12417.44	9513.17	10170.42	10931.19	11638.02	10374.19	8783.03	10130.89	12330.95	8949.64	8756.12	14014.62	13497.84	12163.87	10609.65	7061.19	10289.35	10378.89	11581.1	11215.73	11151.47	8285.18	8554.43	8364.4	11492.27	11070.26	7941.33	8460.22	6791.38	14765.19	8638.68	8025.34	8952.59	12006.42
410.490	9477.29	10861.82	13115.18	9393.6	10819.33	8496.18	4191.3	10151.39	7968.49	9717.57	11204.81	8423.96	11031.16	9170.64	9914.02	12210.91	13817.51	8854.74	7739.83	12646.43	10377.14	13299.43	9448.49	8491.25	12551.88	13556.82	12714.29	13121.79	13540.1	11145.2	12463.75	11402.58	10797.97	13493	13275.64	15309.34	13427.89	12116.8	9036.37	9637.44	10338.01	10958.85	9826.25	8319.28	9589.62	11939.12	8406.87	8298.74	13302.07	13308.44	11605.9	10066.3	6714.06	9828.33	9854.58	10882.43	10543.6	10529.19	7903.21	8121.35	7996.44	10781.68	10458.32	7577.34	8101.68	6476.63	14133.88	8220.25	7599.46	8456.29	11361.89
440.489	10406.41	11967.66	13913.72	10354.99	11861.89	9321.4	4728.95	11197.59	8857.27	10634.96	12222.96	9362.63	12213.95	10169.73	10908.97	13174.15	14825.29	9801.54	8450.38	13102.2	11473.9	13509.34	10408.58	9404.93	13151.36	14035.83	12983.23	14070.19	14611.94	12239.44	12790.27	12523.5	11859.73	14611.53	13867.63	15903.36	14553.05	12574.07	9935.25	10630.98	11332.98	12025.23	10843.59	9129.68	10492.32	12637.48	9193.65	9143.44	14287.01	13571.03	12474.02	11063.67	7336.25	10931.76	10869.81	11817.71	11523.33	11581.56	8701.95	8930.63	8834.31	11740.84	11474.95	8303.42	8945.6	7175.89	14898.01	9049.74	8290.49	9248.89	12447.84
470.457	10713.26	12296.31	14063.65	10655.97	12097.87	9546.95	5039.2	11503.93	9163.07	10848.76	12468.91	9666.19	12616.82	10521.21	11203.49	13382.76	15017.25	10087.39	8640.46	13185.19	11864.64	13536.13	10696.5	9758.57	13281.96	14136.73	13018.52	14231.08	14830.13	12512.64	12854.13	12798.32	12155.66	14843.83	13981.25	16017.67	14811.69	12653.36	10193.87	10881.8	11634.26	12268.84	11187.73	9366.31	10784.31	12816.25	9360.54	9435.39	14460.96	13602.13	12685.52	11411.7	7561.04	11336.67	11207.18	12043.14	11794.38	11877.84	8979.66	9182.31	9127.36	11933.91	11734.91	8584.33	9231.05	7430.7	15019.2	9381.59	8523.42	9512.61	12726.4
500.300	11098.28	12710.73	14265.72	11065.1	12478.27	9881.83	5347.12	11912.36	9548.13	11151.23	12833.71	10125.35	13100.18	10924.82	11535.96	13641.88	15212.21	10554.86	8898.08	13263.3	12327.36	13587.5	11097.79	10183.55	13401.15	14221.37	13064.05	14441.04	15083.39	12855.89	12896.7	13202.86	12472.53	15127.08	14101.49	16110.61	15104.2	12726.99	10611.75	11311.53	12007.05	12615.68	11584.66	9678.77	11166.02	13000.39	9674.35	9764.2	14703.39	13634.65	12901.46	11761.34	7815.3	11841.23	11596.72	12317.69	12132.12	12317.24	9324.08	9508.49	9524.57	12245.13	12115.6	8845.37	9559.84	7725.37	15191.28	9708.33	8782.02	9847.48	13058.99
530.408	11085.25	12688.93	14180.02	10998.14	12357.71	9856.74	5471.45	11907.02	9571.94	11038.45	12673.43	10144.51	13138.64	10929.68	11483.91	13554.67	15174.26	10553.58	8800.68	13233	12333.65	13575.63	11042.96	10211.03	13389.59	14210.01	13053.56	14367.31	14954.28	12810.74	12879.2	13140.28	12461.57	15052.89	14054.81	16115.44	15043.79	12727.48	10582.12	11270.21	11927.49	12532.05	11588.63	9670.81	11126.95	12984.44	9569.69	9763.75	14561.99	13636.85	12861.85	11771.9	7785.91	11866.9	11579.8	12143.93	12034.24	12246.85	9320.18	9507.99	9546.67	12085.12	12019.99	8857.53	9593.93	7749.19	15096.17	9715.26	8747.3	9765.7	12994.81
560.797	11741.25	13248.3	14487.22	11660.7	13001.61	10408.12	5949.42	12488.22	10201.16	11620.68	13273.07	10816.97	13863.77	11641.01	12017.65	13961.71	15501.06	11238.91	9306.67	13360.74	13127.11	13630.67	11724.6	10902.24	13544.35	14334.37	13110.83	14716.84	15327.09	13319.81	12957.57	13750.78	12927.71	15481.52	14240.98	16258.74	15498.42	12828.36	11220.21	11930.81	12596.67	13211.56	12253.54	10239.63	11700.87	13202.05	10094.44	10333.88	15012.72	13694.2	13194.57	12321.86	8251.15	12695.51	12214.45	12728.09	12629.46	12980.47	9850.24	10044.08	10156.61	12684.53	12738.73	9377.56	10177.44	8255.78	15380.23	10285.93	9216.48	10319.45	13621.6
590.781	12422.03	13718.56	14700.8	12338.52	13628.81	10972.26	6422.66	12954.87	10842.46	12101.07	13770.06	11496.94	14452	12225.77	12439.04	14233.31	15785.17	11885.84	9773.64	13447.71	13791.58	13659.27	12379.83	11573.07	13651.5	14448.66	13155.82	14954.75	15635.37	13686.46	13007.72	14284.02	13260.08	15766.41	14361.6	16334.03	15808.2	12881.88	11851.39	12460.79	13295.97	13852.38	12789.7	10779.02	12181.97	13348.82	10585.96	10939.25	15328.14	13724.16	13434.03	12777.81	8706.67	13478.83	12766.6	13276.67	13282.64	13642.4	10386.63	10597.12	10803.96	13240.57	13353.27	9853.75	10778.65	8784.17	15618.18	10879.04	9703.23	10851.21	14168.47
620.967	13144.49	14155.55	14868.88	13018.14	14300.39	11570.1	6949.48	13343.79	11541.96	12575.27	14270.92	12231.79	14949.88	12708.62	12771	14471.23	15998.3	12618.43	10283.61	13502.19	14393.76	13681.2	13144	12227.3	13703.49	14507.55	13171.58	15171.74	15851.97	13980.66	13048.33	14782.57	13512.57	16014.48	14446.15	16362.53	16060.01	12927.91	12588.46	12964.62	13972.64	14504.66	13277.42	11386.53	12670.08	13448.61	11154.78	11583.77	15668.91	13740.7	13622.71	13152.4	9210.42	14253.91	13272.58	13881.98	13955.55	14307.6	11005.01	11205.37	11504.57	13869.33	14107.26	10407.16	11415.2	9357.94	15816.24	11531.64	10241.74	11485.78	14591.8
650.919	13442.02	14267.43	14908.48	13208.1	14486.74	11810.32	7224.42	13437.65	11813.68	12677.46	14387.35	12527.24	15090.95	12871.76	12860.67	14514.9	16026.27	12922.89	10424.7	13507.89	14589.71	13682.32	13479.36	12466.5	13714.46	14515.1	13177.09	15224.04	15888.85	14048.86	13050.75	14876.91	13568.89	16071.64	14458.88	16370.25	16111.43	12924.45	12827.56	13081.79	14220.36	14665.78	13419.14	11627.26	12760.08	13465.56	11303.89	11783.74	15692.49	13746.25	13664.34	13273.41	9372.54	14537.93	13409.76	13973.71	14100.8	14471.34	11211.39	11432.93	11751.89	13991.41	14276.69	10586.23	11627.38	9579.09	15837.75	11817.05	10409.05	11647.4	14697.37
681.105	13500.38	14251.4	14863.18	13213.99	14393	11782.42	7387.33	13427.75	11856.61	12638.35	14311.25	12544.08	15069.46	12884.43	12835.2	14465.99	15997.4	12952.81	10410.92	13490.02	14590.28	13677.87	13508.6	12511.37	13701.61	14500.94	13171.5	15177.3	15860.23	14043.02	13038.42	14853.06	13531.87	16036.81	14442.18	16363.77	16089.1	12924.25	12883.22	13066.05	14213.7	14650.96	13418.66	11620.44	12738.66	13466.8	11288.31	11798.79	15604.67	13742.67	13646.72	13235.46	9405.34	14591.92	13400.66	13857.91	14018.13	14471.4	11191.36	11455.53	11798.07	13879.82	14218.9	10605.2	11698.85	9622.93	15777.01	11825.09	10417.7	11621.39	14667.03
711.042	13991.28	14452.01	14944.33	13546.8	14738.27	12175.9	7781.62	13620.07	12274.34	12916.12	14521.92	13087.57	15316.69	13103.94	13024.52	14591.74	16105.61	13435.19	10733.24	13520.14	14894.24	13689.04	13969.21	12864.67	13728.73	14534.49	13184.48	15291.05	15915.17	14181.13	13058.17	15086.33	13663.83	16154.81	14477.21	16377.44	16183.5	12935.99	13320.77	13321.41	14596.27	14982.1	13673.76	12084.62	12978.84	13509.25	11635.25	12200.78	15762.96	13750.6	13730.23	13427.88	9777.85	15032.34	13662.33	14172.92	14386.35	14790.87	11588.98	11871.54	12226.65	14205.64	14646.74	10980.8	12166.97	10054.1	15862.67	12312	10743.92	12007.18	14900.14
740.994	13835.97	14386.4	14894.97	13407.55	14506.29	11989.91	7825.13	13567.45	12192.44	12740.54	14371.96	13026.17	15246.51	13054.86	12966.23	14542.7	16034.84	13305.14	10543.19	13505.61	14823.22	13678.05	13781.42	12784.36	13724.75	14531.73	13180.24	15208.2	15864.01	14120.65	13050.01	14976.04	13642.19	16103.72	14462.21	16376.23	16140.05	12927.77	13177.96	13253.8	14460.55	14804.7	13590.74	11918.37	12899.9	13487.35	11459.66	12073.57	15629.85	13748.46	13698.09	13347.78	9672.58	14915.42	13562.37	13906.25	14141.58	14644.13	11436.49	11712.06	12105.62	13908.53	14407.81	10809.11	12060.33	9982.04	15751.42	12219.35	10651.97	11833.15	14788.87
771.024	14357.89	14551.53	14979.3	13768.06	14797.16	12422.37	8260.56	13693.55	12592.38	12993.83	14599.23	13463.61	15414.67	13216.61	13080.7	14619.31	16137.04	13810.08	10935.65	13521.56	15042.06	13687.19	14320.08	13142.01	13733.69	14542.21	13188.61	15294.9	15949.59	14250.54	13058.89	15206.65	13720.48	16197.49	14503.52	16380.74	16212.42	12937.5	13645.94	13433.81	14851.35	15152.74	13794.42	12363.21	13101.91	13535.51	11843.53	12447.33	15759.17	13757.26	13763.05	13522.29	10035.17	15251.99	13758.47	14201.85	14503.6	14926.38	11853.76	12191.02	12577.8	14243.84	14756.07	11213.75	12554.95	10423.64	15854.35	12656.99	11012.04	12243.42	15013.4
801.320	14322.16	14523.98	14941.05	13709.21	14704.9	12356.39	8381.89	13706.68	12609.99	12958.25	14527.99	13501.25	15448.04	13224.57	13077.28	14592.97	16104.87	13856.56	10869.97	13508.81	15073.37	13681	14310.01	13168.15	13739.06	14545.44	13181.45	15268.51	15870.92	14221.9	13052.25	15182.09	13730.48	16168.2	14494.04	16380.83	16193.23	12933.01	13643.09	13436.18	14816.5	15118.26	13790.73	12329.45	13103.92	13514.12	11804.66	12450.8	15701.21	13753.47	13748.25	13491.11	10070.82	15293.68	13760.13	14109.8	14418.32	14941.44	11845.47	12206.63	12666.43	14118.35	14701.73	11206.65	12582.24	10486.9	15788.6	12686.01	11002.76	12226.43	14972.99
831.615	14665.07	14626.28	14977.24	13933.93	14869.27	12640.99	8695.58	13785.82	12832.12	13078.12	14647.99	13809.76	15533.04	13314.84	13136.7	14650.15	16148.34	14194.49	11078.23	13525.89	15200.71	13689.86	14591.86	13371.7	13739.12	14555.21	13183.53	15294.36	15905.06	14299	13063.9	15304.22	13767.69	16207.26	14508.04	16382.46	16234.94	12940.35	13932.03	13548.09	15091.43	15321.33	13892.18	12686.86	13224.51	13535.22	12046.17	12660.86	15777.18	13756.58	13776.49	13597.27	10318.9	15493.77	13869.98	14278.88	14571.32	15074.7	12088.7	12461.1	12948.69	14262.74	14945.8	11439.83	12897.61	10768.82	15828.1	12993.82	11285.08	12473.86	15127.74
861.848	15006.58	14730.27	15017.04	14197.88	15119.51	12991.98	9091.84	13855.47	13055.31	13267.37	14840.45	14180.14	15624.51	13393.2	13210.46	14707.02	16205.23	14552.05	11359.58	13534.47	15357.94	13690.64	14969.48	13549.07	13754.43	14562.9	13188.49	15347.8	15954.85	14345.88	13070.24	15450.97	13817.14	16270.93	14528.61	16382.13	16279.48	12944.5	14244.69	13656.41	15370.78	15514.67	14011.98	13063.57	13342.42	13551.57	12399.41	12954.03	15855.2	13757.8	13806.25	13697.72	10679.11	15717.65	13983.01	14493.16	14765.07	15254.38	12462.03	12856.13	13394.97	14504.01	15177.15	11764.22	13297.99	11140.77	15906.13	13434.99	11630.6	12814	15326.18
891.956	15441.57	14840.15	15060.65	14531.98	15421.76	13613.09	9672.91	13940.79	13314.41	13516.02	15061.27	14693.17	15738.87	13506.33	13294.97	14780.32	16281.43	15138.15	11780.17	13558.83	15519.65	13696.25	15382.59	13771.7	13756.89	14570	13194.31	15464.94	16060.23	14427.21	13075.12	15635.95	13879.57	16322.16	14545.24	16383	16329.62	12944.37	14651.21	13828.09	15738.39	15803.95	14130.2	13711.32	13510.07	13564.37	12974.24	13358.46	16006.93	13760.74	13838.94	13817.62	11238.79	15971.58	14139.75	14886.49	15190.64	15466.95	13048.59	13428.86	14030.43	14929.91	15514.71	12316.57	13928.29	11758.67	16005.59	14067.38	12211.73	13454.08	15603.12
