Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)
303.942	2647.65	3434.58	3194.79	2677.35	2805.39	3445.24	2857.34	2684.98	2994.48	3342.67	2375.25	2412.01	2492.74	2945.76	3030.63	3169.12	3192.57	3350.72	2405.77	3580.24	2495.04	2925.25	2552.35	2731.14	2887.16	2868.39	2554.93	2841.06	3402.45	2333.48	3398.18	2789.36	2919.2	2035.28	3231.25	2744.09	3372.34	2689.57	3286.45	3296.31	2744.24	2120.37	4482.13	3665.11	3539.06	2840.15
333.909	2920.59	3903.22	3595.07	2999.88	3148.47	3940.19	3164.96	3020.87	3356.69	3779.12	2617.65	2611.58	2751.15	3301.28	3341.08	3584.75	3649.53	3740.23	2621.3	4041.37	2798.74	3276.95	2915.53	3036.63	3201.61	3201.44	2852.55	3180.9	3849.96	2528.19	3733.17	3132.11	3260.88	2230.72	3661.52	3068.6	3796.09	2980.85	3652.28	3687.09	3042.03	2305.83	5070.53	4074.64	4025.48	3146.36
363.986	3092.17	4217.68	3847.24	3193.52	3362.97	4227.5	3344.16	3206.57	3558.14	4037.36	2733.15	2729.94	2895.98	3529.17	3510.58	3825.58	3955.55	3956.83	2712.06	4349.91	3008.25	3475.63	3151.28	3199.74	3385.46	3389.68	3015.78	3391.99	4125.12	2609.19	3888.63	3340.18	3439.58	2349.57	3917.95	3263.46	4012.41	3144.26	3833.62	3916.3	3195.29	2369.97	5428.7	4292.38	4319.33	3317.57
394.017	3236.59	4505.78	4062.61	3361.04	3559.71	4501.43	3494.91	3392.28	3738.72	4281.53	2841.12	2800.83	3007.55	3710.77	3634.74	4067.74	4226.1	4158.39	2774.55	4600.89	3193.87	3656.81	3390.7	3348.36	3530.31	3560.48	3163.28	3570.73	4384.75	2672.31	4015.93	3530.97	3598.18	2455.75	4154.18	3426.64	4221.1	3294.27	3989.11	4105.99	3349.86	2420.97	5730.81	4504.73	4598.91	3495.74
423.969	3354.67	4733.68	4227.99	3540	3702.2	4732.5	3607.61	3559.43	3898.44	4457.7	2922.54	2852.53	3103.06	3868.03	3730.66	4223.75	4458.28	4290.95	2815.54	4813.73	3352.81	3819.2	3576.07	3455.21	3630.03	3699.21	3284.92	3725.02	4591.52	2714.9	4103.1	3680.87	3708.79	2520.76	4336.4	3555.65	4355.57	3407.93	4116.94	4251.38	3463.31	2455.59	5969.92	4657.21	4810.05	3612.74
453.937	3577.29	5115.92	4530.8	3773.83	3955.85	5089.56	3825.54	3804.32	4161.14	4777.45	3075.84	2987.73	3270.27	4106.93	3914.91	4526.75	4819.94	4549.8	2939.48	5178.43	3623.16	4079.65	3866.84	3669.29	3854.14	3937.31	3494.79	3993.83	4906.99	2810.62	4287.45	3927.98	3926.04	2657.29	4660.25	3788.83	4675.29	3611.08	4360.66	4535.51	3666.35	2564.8	6386.46	4940.8	5156.38	3841.51
483.889	3794.97	5492.24	4848.73	4042.47	4229.46	5475.8	4057.47	4071.01	4440.2	5162.3	3248.45	3133.61	3456.06	4382.18	4120.29	4839.09	5192.84	4816.44	3080.77	5530.57	3878.98	4359.26	4176.41	3885.15	4088.63	4188.95	3714.24	4275.97	5311.21	2936.96	4495.34	4195.73	4173.88	2808.03	4988.29	4030.65	4952.71	3834.15	4601.48	4814.11	3884.82	2677.44	6808.7	5245.72	5530.93	4068.51
513.872	3929.91	5739.68	5045.83	4220.89	4402.32	5713.08	4188.82	4232.7	4605.1	5384.82	3351.7	3204.7	3560.39	4533.79	4243.6	5012.61	5440.1	4997.74	3144.81	5766.18	4075.71	4527.44	4393.53	4015.42	4228.36	4334.09	3828.34	4458.68	5514.3	2983.42	4580.75	4352.45	4307.75	2901.16	5194.76	4189.08	5136.93	3987.97	4717.07	4962.06	4006.54	2729.06	7078.83	5440.49	5777.73	4198.5
544.277	4126.55	6103.26	5334.96	4468.06	4634.29	6053.03	4416.23	4487.21	4865.99	5681.52	3503.33	3324.2	3727.23	4774.2	4432.77	5295.34	5782.53	5245.85	3244.69	6098.31	4336.37	4786.25	4674.34	4208.56	4421.96	4559.62	4043.54	4710.92	5839.46	3094.95	4756.47	4602.66	4501.04	3045.71	5498.1	4409.65	5380.93	4174.58	4964	5220.23	4208.04	2818.18	7427.78	5735.2	6136.34	4404.7
574.260	4400.56	6605.02	5717.17	4816.1	4976.48	6513.78	4712.41	4819.43	5202.74	6109.28	3726.59	3503.08	3972.3	5103.92	4686.45	5675.59	6220.44	5610.77	3424.55	6537.67	4661.92	5111.34	5054.32	4493.84	4735.28	4859.05	4320.75	5075.03	6294.5	3241.16	5021.22	4912.27	4806.24	3240.3	5888.35	4703.76	5738.82	4442.91	5253.18	5547.02	4482.74	2975.45	7953.9	6111.91	6584.67	4673.48
