?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
330.337	9102.26	6920.9	5422.79	10737.85	8349.78	8315.1	8733.94	7313.03	5989.61	5203.76	10365.09	8810.58	4118.88	9741.33	8102.01	9329.26	10519.25	8300.4	7465.5	11240.01	9419.93	10111.1	7452.18	8656.61	9528.87	8563.93	11461.13	11499.65	6553.67	10470.14	8795.31	9032.52	13983.63	10482.33	10498.78	12046.41	7623.36	11380.58	11458.2	8490.59	11709.48	8918.12	6885.55	7517.45	10244.82	7515.59	10436.45	8296.11	8690.34	15744.97	8537.64	6936.55	5537.21	5771.47	12010.05	8469.59	9084.65	10171.46	6760.54	9518.28	7809.28	9163.47	9674.78	5638.41	6976.7	7270.59	8838.93	8803.25	7330.03	6275.05
360.398	9344.03	7040.95	5517.89	10877.03	8497.2	8369.76	8910.37	7480.72	6102.36	5343.85	10518.37	8950.38	4283.69	9925.11	8216.08	9483.26	10708.73	8529.7	7624.21	11400.77	9624.59	10317.86	7574.69	8855.33	9654.7	8767.19	11505.08	11584.19	6728.08	10654.68	8975.74	9213.06	14053.38	10663.11	10660.76	12231.39	7853.65	11504.9	11605.9	8678.98	11928.1	9108.37	7053.83	7656.66	10324.13	7729.62	10556.47	8450.89	8807.22	15730.98	8659.78	7020.46	5629	5974.6	12151.1	8674.21	9321.12	10266.24	6833.01	9737.53	7951.12	9273.25	9839.88	5754.64	7092.34	7366.38	9047.76	8932.1	7432.83	6387.47
390.460	9662.86	7222.8	5685.01	11169.88	8704.43	8609.22	9218.74	7732.88	6310.23	5578.68	10767.39	9204.67	4511.32	10250.92	8449.69	9750.34	11069.79	8855.09	7865.45	11628.2	9954.95	10659.19	7810.13	9176.22	9991.8	9059.61	11666.05	11879.75	6974.72	10979.13	9257.84	9454.01	14178.81	10968.19	10948.3	12639.1	8162.31	11714.54	11859.5	8984.87	12240.09	9462.29	7328.19	7896.21	10534.64	8049.41	10794.6	8703.69	9005.37	15777.49	8868.81	7201.4	5800.88	6236.56	12400.32	8971.77	9694.19	10493.39	7048.3	10054.51	8202.14	9568.95	10179.03	5965.69	7266.26	7568.45	9405.6	9174.21	7635.46	6588.38
420.381	10005.97	7435.63	5830.12	11393.78	8941.99	8739.51	9505.6	8012.96	6488.38	5748.42	11015.7	9406.72	4736.1	10576.02	8671.48	9976.07	11375.5	9195.78	8081.01	11830.61	10223.29	10950.3	8008.94	9484.83	10239.81	9340.42	11772.49	12085.33	7235.11	11272.26	9506.05	9731.15	14254.92	11203.96	11180	12899.74	8481.66	11901.96	12078.41	9263.55	12575	9750.71	7585.2	8123.73	10703.27	8319.67	10986.51	8951.83	9218.7	15823.24	9054.83	7379.41	5950.1	6486.04	12615.36	9246.53	10038.7	10678.11	7210.24	10369.6	8431	9800.1	10454.7	6158.12	7442.53	7735.47	9675.19	9365.33	7821.09	6777.37
450.348	10456.29	7753.03	6036.51	11693.66	9273.91	9037.99	9859.43	8352.58	6771.26	6010.56	11353.81	9761.46	5002.75	10983.74	8992.33	10356.89	11801.87	9614.92	8399.12	12055.71	10661.78	11310.43	8320.41	9897.59	10571.64	9761.46	11935.85	12473.95	7579.73	11706.04	9943.1	10127.7	14380.98	11516.45	11506.94	13350	8882.72	12150.63	12350	9684.89	13040.7	10180.16	7926.51	8471.47	10940.42	8747.43	11300.13	9322.75	9514.65	15908.98	9383.44	7631.31	6172.82	6825.33	12946.04	9650.62	10515.74	11027.78	7494.81	10837.14	8781.04	10140.42	10926.43	6418.26	7689.35	8022.33	10153.22	9690.9	8088.73	7042.7
480.316	11023.97	8133.2	6345.43	12070.74	9684.41	9404.6	10399.32	8809.27	7123.73	6350.49	11695.31	10218.48	5360.56	11481.73	9386.76	10831.7	12278.02	10165.87	8809.75	12261.59	11226.26	11703.66	8717.53	10452.54	10986.88	10262.07	12126.49	12991.65	7997.59	12138.37	10440.55	10686.42	14545.31	11849.84	11848.72	13879	9390.75	12429.24	12674.89	10200.7	13682.04	10707.16	8405.43	8879.84	11264.38	9198.84	11651.91	9761.11	9949.84	16015.44	9801.79	7945.95	6472.14	7233.78	13347.2	10166.55	11098.27	11492.4	7841.04	11392.4	9242.12	10632.51	11458.32	6743.44	8024.15	8407.47	10676.28	10093.72	8458.78	7384.66
510.300	11038.94	8132.83	6312.12	11998.87	9649.21	9282.68	10368.9	8806.33	7120	6375.44	11614.45	10144.39	5439.86	11438.37	9354.02	10753	12207.75	10191.23	8772.17	12250.63	11197.7	11717.67	8664.35	10414.49	10955.07	10269.12	12068.97	12819.21	8021.74	12103.59	10403.14	10594.82	14509.54	11839.19	11809.51	13818.03	9448.81	12369.44	12614	10189.18	13594.55	10704.55	8402.44	8833.33	11164.96	9263.45	11563.62	9718.36	9860.5	15952.13	9720.73	7926.1	6450.73	7286.69	13247.19	10162.64	11129.31	11376.47	7793.13	11380.91	9215.9	10559.09	11400.15	6752.44	8011.55	8364.95	10704.09	10036.43	8391.27	7379.51
540.689	11566.75	8436.7	6587.97	12300.72	10049.81	9620.12	10845.62	9198.7	7450.98	6692.67	11931.62	10548.01	5786.61	11808.21	9706.76	11202.24	12578.47	10622.17	9143.16	12386.89	11642.89	12023.33	9042.95	10942.53	11238.89	10716.87	12211.21	13234.4	8429.92	12463.12	10870.34	11059.87	14626.57	12097.43	12062.21	14128.9	9925.15	12572.99	12871.38	10608.27	14059.02	11204.59	8815.64	9229.82	11402.87	9670.26	11824.21	10102.4	10232.35	16028.69	10088.66	8222.25	6730.93	7680.03	13575.21	10622.72	11677.44	11737.01	8114.02	11839.38	9596.46	10988.06	11862.88	7060.5	8295.24	8655.45	11223.68	10466.22	8728.49	7691.41
570.703	12080.19	8812.76	6841.08	12551.16	10463.72	9929.27	11289.85	9631.86	7747.26	7029.99	12206.44	10956.99	6117.94	12157.2	10092.87	11623.47	12895.5	11006.01	9543.25	12526.21	12006.73	12275.19	9419.55	11435.68	11530.23	11201.43	12337.99	13584.83	8809.82	12786.76	11368.09	11516.44	14724.11	12305.47	12314.72	14404.21	10383.67	12725.82	13040.37	10978.04	14455.94	11688.56	9223.65	9628.92	11625.41	10151.23	12121.31	10538.41	10628.44	16067.16	10450.36	8514.18	6991.86	8022.91	13854.08	11092.6	12162.89	12156.36	8452.02	12386.66	9982.4	11472.48	12370.68	7346.78	8612.7	9038.57	11711.99	10776.61	9063.75	8019.52
600.936	12812.23	9314.24	7209.58	12846.29	11026	10399.35	11913.61	10186.99	8198.14	7455.64	12551.4	11539.61	6569.51	12492.86	10643.61	12216.54	13239.13	11468.18	10073.56	12653.67	12438.67	12522.43	9945.75	12091.91	11844.27	11790.03	12464.73	13964.56	9362.63	13150.47	11957.07	12164.52	14823.14	12555.21	12571.17	14725.73	10982.45	12930.68	13329.23	11422.17	14890.77	12370.62	9784.17	10161.91	11906.44	10741.17	12423.58	11117.62	11175.83	16166	10983.4	8940.36	7378.11	8541.42	14230.67	11718.91	12750.21	12771.78	8910.29	13095.38	10578.41	12028.36	13071.63	7806.29	9081.42	9504.1	12382.77	11355.33	9526.53	8414.4
